t_min,lon,lat
123.0,-59.00296984225118,-2.1455395929635515
123.0,-58.99379032983844,-2.1455395929635515
123.0,-58.994330301156836,-2.145809389445327
123.0,-58.994330301156836,-2.1460791859271025
123.0,-58.99379032983844,-2.145809389445327
123.0,-58.99352034417924,-2.1460791859271025
123.0,-58.99379032983844,-2.146348982408878
123.0,-58.99352034417924,-2.146348982408878
123.0,-58.994330301156836,-2.1468885753724294
123.0,-58.99379032983844,-2.146618778890654
123.0,-59.00296984225118,-2.147158371854205
123.0,-58.99487027247523,-2.147967761299532
123.0,-58.99460028681603,-2.147967761299532
123.0,-59.00188989961439,-2.1487771507448588
123.0,-58.99460028681603,-2.1487771507448588
123.0,-58.99487027247523,-2.1490469472266343
123.0,-58.99568022945283,-2.1490469472266343
123.0,-59.000539971318396,-2.149856336671961
123.0,-58.99838008604481,-2.1501261331537367
123.0,-58.99676017208962,-2.149856336671961
123.0,-58.99676017208962,-2.1501261331537367
123.0,-58.99514025813443,-2.1501261331537367
123.0,-58.998650071704006,-2.1501261331537367
123.0,-58.99703015774882,-2.150665726117288
126.0,-58.9997300143408,-2.140143663328039
126.0,-58.99838008604481,-2.1404134598098143
126.0,-59.000539971318396,-2.1404134598098143
126.0,-58.99757012906721,-2.1404134598098143
126.0,-58.99730014340802,-2.1404134598098143
126.0,-58.99730014340802,-2.1406832562915903
126.0,-58.99730014340802,-2.140953052773366
126.0,-58.99757012906721,-2.140953052773366
126.0,-59.002159885273585,-2.1412228492551413
126.0,-59.002159885273585,-2.1414926457369168
126.0,-58.99703015774882,-2.1417624422186927
126.0,-58.99568022945283,-2.1425718316640197
126.0,-59.00269985659198,-2.142841628145795
126.0,-58.99514025813443,-2.143381221109346
126.0,-58.99514025813443,-2.143651017591122
126.0,-58.99460028681603,-2.144190610554673
126.0,-58.99487027247523,-2.144190610554673
126.0,-59.00296984225118,-2.145
126.0,-59.00269985659198,-2.1447302035182245
126.0,-58.99487027247523,-2.1447302035182245
126.0,-59.00269985659198,-2.1455395929635515
126.0,-58.994330301156836,-2.1455395929635515
126.0,-58.994060315497634,-2.145809389445327
126.0,-58.99352034417924,-2.146618778890654
126.0,-58.994060315497634,-2.1468885753724294
126.0,-58.99460028681603,-2.1485073542630833
126.0,-58.994330301156836,-2.1485073542630833
126.0,-58.994060315497634,-2.1485073542630833
126.0,-59.00242987093279,-2.1485073542630833
126.0,-59.00242987093279,-2.1490469472266343
126.0,-59.0008099569776,-2.1487771507448588
126.0,-58.99514025813443,-2.1487771507448588
126.0,-59.0008099569776,-2.1493167437084097
126.0,-58.99460028681603,-2.1490469472266343
126.0,-59.0008099569776,-2.149856336671961
126.0,-58.996220200771226,-2.149856336671961
126.0,-58.99460028681603,-2.1493167437084097
126.0,-58.99487027247523,-2.1501261331537367
126.0,-58.99460028681603,-2.1501261331537367
126.0,-59.0,-2.150395929635512
126.0,-58.9997300143408,-2.150395929635512
126.0,-58.997840114726415,-2.150395929635512
126.0,-58.99649018643042,-2.150395929635512
126.0,-58.99649018643042,-2.1501261331537367
126.0,-58.99676017208962,-2.150665726117288
126.0,-58.99676017208962,-2.1509355225990636
129.0,-59.0002699856592,-2.140143663328039
129.0,-58.99703015774882,-2.1404134598098143
129.0,-58.99703015774882,-2.1406832562915903
129.0,-58.99811010038561,-2.1406832562915903
129.0,-59.000539971318396,-2.1412228492551413
129.0,-58.99703015774882,-2.140953052773366
129.0,-58.99703015774882,-2.1412228492551413
129.0,-59.00242987093279,-2.140953052773366
129.0,-59.002159885273585,-2.140953052773366
129.0,-59.00188989961439,-2.140953052773366
129.0,-58.99730014340802,-2.1417624422186927
129.0,-58.99676017208962,-2.1417624422186927
129.0,-58.99676017208962,-2.142032238700468
129.0,-59.00269985659198,-2.1417624422186927
129.0,-59.001349928295994,-2.1417624422186927
129.0,-58.99541024379363,-2.1423020351822437
129.0,-58.995950215112025,-2.1431114246275706
129.0,-58.99568022945283,-2.142841628145795
129.0,-59.00296984225118,-2.142841628145795
129.0,-58.99541024379363,-2.142841628145795
129.0,-58.99487027247523,-2.143651017591122
129.0,-58.99487027247523,-2.1439208140728976
129.0,-58.994330301156836,-2.144190610554673
129.0,-58.994330301156836,-2.1447302035182245
129.0,-58.994060315497634,-2.144190610554673
129.0,-59.00350981356958,-2.1452697964817755
129.0,-58.99379032983844,-2.1447302035182245
129.0,-58.99379032983844,-2.145
129.0,-59.00242987093279,-2.145
129.0,-58.99352034417924,-2.145809389445327
129.0,-58.99352034417924,-2.1468885753724294
129.0,-58.994060315497634,-2.147158371854205
129.0,-58.994330301156836,-2.147158371854205
